"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2014","4,528.93","4,441.67","4,554.09","4,424.24","213.88M","1.91%"
"Dec 30, 2014","4,444.03","4,543.14","4,543.14","4,416.47","178.16M","-2.18%"
"Dec 29, 2014","4,543.14","4,595.95","4,605.72","4,543.14","227.35M","-1.15%"
"Dec 28, 2014","4,595.95","4,536.82","4,603.60","4,529.62","316.19M","1.31%"
"Dec 25, 2014","4,536.55","4,533.72","4,559.80","4,517.48","385.34M","0.06%"
"Dec 24, 2014","4,533.72","4,469.82","4,544.73","4,469.82","440.42M","1.42%"
"Dec 23, 2014","4,470.15","4,469.47","4,515.04","4,466.22","351.55M","-0.19%"
"Dec 22, 2014","4,478.48","4,514.40","4,522.94","4,461.41","308.09M","-0.85%"
"Dec 21, 2014","4,516.65","4,383.21","4,559.15","4,383.21","468.94M","3.47%"
"Dec 18, 2014","4,365.19","4,110.04","4,402.23","4,110.04","285.98M","6.70%"
"Dec 17, 2014","4,090.99","3,894.93","4,090.99","3,881.51","265.22M","5.11%"
"Dec 16, 2014","3,892.08","4,177.83","4,177.83","3,876.44","219.41M","-6.90%"
"Dec 15, 2014","4,180.76","4,208.32","4,353.17","4,180.76","272.03M","-0.69%"
"Dec 14, 2014","4,209.75","4,337.36","4,337.36","4,183.90","142.50M","-3.63%"
"Dec 11, 2014","4,368.31","4,561.51","4,566.09","4,368.31","183.26M","-4.68%"
"Dec 10, 2014","4,582.91","4,573.93","4,620.38","4,557.57","78.03M","0.36%"
"Dec 09, 2014","4,566.31","4,673.48","4,673.48","4,486.56","169.17M","-2.35%"
"Dec 08, 2014","4,676.34","4,715.31","4,742.03","4,671.49","132.32M","-0.86%"
"Dec 07, 2014","4,717.07","4,701.65","4,741.32","4,695.12","70.38M","0.32%"
"Dec 04, 2014","4,702.14","4,667.44","4,794.38","4,667.44","128.02M","0.77%"
"Dec 01, 2014","4,666.01","4,669.37","4,679.01","4,618.72","292.26M","-0.11%"
"Nov 30, 2014","4,671.29","4,672.34","4,673.55","4,671.29","115.84M","-2.64%"
"Nov 27, 2014","4,797.90","4,819.08","4,820.82","4,761.31","76.53M","-0.46%"
"Nov 26, 2014","4,820.26","4,861.74","4,866.38","4,792.44","106.52M","-0.85%"
"Nov 25, 2014","4,861.74","4,967.93","4,986.32","4,861.74","187.55M","-2.08%"
"Nov 24, 2014","4,965.07","4,973.45","4,988.51","4,937.11","164.93M","0.02%"
"Nov 23, 2014","4,963.93","4,956.68","4,991.54","4,956.68","154.07M","0.12%"
"Nov 20, 2014","4,957.79","4,936.18","4,957.79","4,912.85","119.37M","0.44%"
"Nov 19, 2014","4,936.18","4,935.29","4,969.62","4,927.85","101.96M","-0.11%"
"Nov 18, 2014","4,941.48","4,910.10","4,954.68","4,910.10","72.43M","0.66%"
"Nov 17, 2014","4,908.97","4,962.74","4,973.54","4,903.19","84.41M","-1.09%"
