"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2015","4,493.93","4,450.24","4,494.14","4,411.77","104.76M","0.91%"
"Aug 30, 2015","4,453.62","4,462.96","4,541.33","4,446.53","164.71M","-0.17%"
"Aug 27, 2015","4,461.09","4,334.61","4,461.09","4,331.59","180.73M","3.03%"
"Aug 26, 2015","4,329.94","4,329.67","4,351.97","4,297.91","106.90M","-0.10%"
"Aug 25, 2015","4,334.17","4,265.26","4,334.17","4,201.72","182.69M","1.63%"
"Aug 24, 2015","4,264.80","4,275.28","4,331.08","4,069.11","176.25M","-0.51%"
"Aug 23, 2015","4,286.49","4,512.48","4,512.48","4,279.07","135.68M","-5.01%"
"Aug 20, 2015","4,512.48","4,572.17","4,572.17","4,496.89","85.46M","-1.37%"
"Aug 19, 2015","4,574.98","4,538.66","4,574.98","4,518.40","55.90M","0.77%"
"Aug 18, 2015","4,539.85","4,631.18","4,637.59","4,520.34","133.86M","-1.97%"
"Aug 17, 2015","4,631.31","4,670.89","4,685.30","4,627.22","55.16M","-0.85%"
"Aug 16, 2015","4,670.89","4,729.15","4,731.94","4,661.94","121.00M","-1.26%"
"Aug 13, 2015","4,730.27","4,770.36","4,778.09","4,722.01","56.29M","-0.74%"
"Aug 12, 2015","4,765.76","4,813.28","4,813.28","4,745.36","84.43M","-1.03%"
"Aug 11, 2015","4,815.53","4,822.48","4,846.35","4,815.44","80.40M","-0.15%"
"Aug 10, 2015","4,822.77","4,810.14","4,832.40","4,803.34","79.79M","0.29%"
"Aug 09, 2015","4,808.95","4,835.47","4,839.75","4,805.77","155.43M","-0.55%"
"Aug 06, 2015","4,835.47","4,843.63","4,845.94","4,800.09","77.40M","-0.15%"
"Aug 05, 2015","4,842.69","4,811.71","4,843.94","4,801.23","144.30M","0.64%"
"Aug 04, 2015","4,811.71","4,821.27","4,823.85","4,783.32","68.84M","-0.20%"
"Aug 03, 2015","4,821.27","4,790.77","4,821.27","4,789.41","69.07M","0.63%"
"Aug 02, 2015","4,790.94","4,834.51","4,845.14","4,790.94","121.16M","-0.90%"
"Jul 30, 2015","4,834.22","4,821.52","4,845.89","4,810.99","103.77M","0.25%"
"Jul 29, 2015","4,821.99","4,860.26","4,864.46","4,811.14","100.62M","-0.67%"
"Jul 28, 2015","4,854.63","4,870.53","4,878.95","4,854.63","50.47M","-0.37%"
"Jul 27, 2015","4,872.78","4,882.42","4,890.87","4,866.28","82.62M","-0.18%"
"Jul 26, 2015","4,881.49","4,897.54","4,901.05","4,862.66","64.86M","-0.37%"
"Jul 23, 2015","4,899.79","4,898.82","4,901.04","4,878.64","92.12M","-0.05%"
"Jul 22, 2015","4,902.09","4,851.69","4,902.09","4,840.25","130.11M","1.04%"
"Jul 21, 2015","4,851.69","4,826.28","4,859.22","4,819.62","95.11M","0.57%"
"Jul 20, 2015","4,824.03","4,814.36","4,834.74","4,812.53","73.98M","0.29%"
"Jul 15, 2015","4,809.85","4,779.15","4,809.85","4,779.15","69.02M","0.69%"
"Jul 14, 2015","4,776.89","4,759.99","4,799.73","4,759.99","147.78M","0.40%"
