"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2014","4,272.75","4,256.17","4,275.58","4,255.33","18.50M","0.64%"
"Dec 30, 2014","4,245.54","4,293.90","4,296.02","4,245.54","56.58M","-1.68%"
"Dec 29, 2014","4,317.93","4,301.66","4,317.93","4,249.95","74.90M","0.51%"
"Dec 24, 2014","4,295.85","4,309.75","4,316.39","4,295.02","14.32M","-0.44%"
"Dec 23, 2014","4,314.97","4,264.54","4,314.97","4,259.21","81.67M","1.42%"
"Dec 22, 2014","4,254.43","4,255.88","4,295.15","4,239.36","86.94M","0.30%"
"Dec 19, 2014","4,241.65","4,282.39","4,291.20","4,202.07","214.97M","-0.18%"
"Dec 18, 2014","4,249.49","4,186.26","4,249.49","4,159.95","214.45M","3.35%"
"Dec 17, 2014","4,111.91","4,052.23","4,131.81","4,035.30","143.18M","0.46%"
"Dec 16, 2014","4,093.20","4,027.51","4,094.19","3,926.34","248.24M","2.19%"
"Dec 15, 2014","4,005.38","4,094.46","4,144.31","4,000.80","149.44M","-2.52%"
"Dec 12, 2014","4,108.93","4,197.48","4,202.52","4,103.49","135.84M","-2.77%"
"Dec 11, 2014","4,225.86","4,225.33","4,249.12","4,196.53","135.26M","-0.05%"
"Dec 10, 2014","4,227.91","4,280.34","4,306.72","4,216.18","116.12M","-0.84%"
"Dec 09, 2014","4,263.94","4,332.73","4,342.12","4,260.07","149.78M","-2.55%"
"Dec 08, 2014","4,375.48","4,400.17","4,407.95","4,375.48","77.43M","-1.00%"
"Dec 05, 2014","4,419.48","4,366.22","4,422.85","4,359.32","125.88M","2.21%"
"Dec 04, 2014","4,323.89","4,399.94","4,427.74","4,310.69","144.55M","-1.55%"
"Dec 03, 2014","4,391.86","4,384.04","4,405.83","4,378.88","87.19M","0.08%"
"Dec 02, 2014","4,388.30","4,396.75","4,422.77","4,373.03","101.31M","0.25%"
"Dec 01, 2014","4,377.33","4,354.19","4,383.19","4,334.81","95.80M","-0.29%"
"Nov 28, 2014","4,390.18","4,378.32","4,390.18","4,353.60","104.49M","0.18%"
"Nov 27, 2014","4,382.34","4,375.42","4,396.20","4,374.58","95.29M","0.20%"
"Nov 26, 2014","4,373.42","4,382.88","4,399.41","4,364.59","95.10M","-0.20%"
"Nov 25, 2014","4,382.31","4,369.31","4,403.55","4,361.18","122.59M","0.32%"
"Nov 24, 2014","4,368.44","4,355.97","4,400.34","4,348.83","117.17M","0.49%"
"Nov 21, 2014","4,347.23","4,245.65","4,356.11","4,240.19","197.87M","2.67%"
"Nov 20, 2014","4,234.21","4,264.61","4,264.73","4,201.47","110.21M","-0.75%"
"Nov 19, 2014","4,266.19","4,263.33","4,289.17","4,251.04","83.27M","0.09%"
"Nov 18, 2014","4,262.38","4,230.41","4,267.66","4,223.32","101.91M","0.86%"
"Nov 17, 2014","4,226.10","4,169.61","4,239.11","4,166.40","95.51M","0.56%"
"Nov 14, 2014","4,202.46","4,208.11","4,208.13","4,164.79","109.62M","0.35%"
"Nov 13, 2014","4,187.95","4,203.67","4,220.74","4,153.17","131.58M","0.19%"
"Nov 12, 2014","4,179.88","4,232.34","4,242.62","4,175.29","122.99M","-1.51%"
"Nov 11, 2014","4,244.10","4,227.12","4,252.92","4,223.68","99.66M","0.50%"
"Nov 10, 2014","4,222.82","4,184.18","4,224.83","4,174.98","123.85M","0.79%"
"Nov 07, 2014","4,189.89","4,238.87","4,239.56","4,161.15","144.09M","-0.89%"
"Nov 06, 2014","4,227.68","4,193.48","4,275.30","4,180.32","163.81M","0.46%"
"Nov 05, 2014","4,208.42","4,163.51","4,214.35","4,145.61","126.75M","1.89%"
