"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2014","9,620.11","9,617.20","9,637.47","9,596.97","-","-0.17%"
"Dec 30, 2014","9,636.64","9,597.75","9,637.55","9,589.06","-","0.11%"
"Dec 29, 2014","9,626.14","9,648.59","9,653.79","9,616.03","-","-0.25%"
"Dec 26, 2014","9,650.21","9,655.62","9,656.06","9,618.92","-","0.29%"
"Dec 25, 2014","9,622.06","9,591.93","9,622.06","9,561.83","-","0.31%"
"Dec 24, 2014","9,591.93","9,558.13","9,601.80","9,545.69","-","0.11%"
"Dec 23, 2014","9,581.80","9,556.16","9,584.11","9,532.27","-","-0.39%"
"Dec 22, 2014","9,619.54","9,614.43","9,624.80","9,587.24","-","0.02%"
"Dec 19, 2014","9,617.48","9,781.50","9,797.98","9,617.47","-","-1.60%"
"Dec 18, 2014","9,773.57","9,771.39","9,799.18","9,739.66","-","-0.00%"
"Dec 17, 2014","9,774.05","9,791.01","9,811.59","9,744.77","-","-0.20%"
"Dec 16, 2014","9,793.24","9,682.52","9,793.35","9,676.79","-","1.09%"
"Dec 15, 2014","9,687.91","9,729.45","9,772.37","9,687.91","-","-0.61%"
"Dec 12, 2014","9,747.80","9,690.78","9,747.80","9,678.35","-","0.67%"
"Dec 11, 2014","9,683.28","9,731.69","9,765.47","9,683.28","-","-0.92%"
"Dec 10, 2014","9,773.13","9,823.07","9,858.53","9,773.13","-","-0.36%"
"Dec 09, 2014","9,808.60","9,818.38","9,840.79","9,791.25","-","-0.47%"
"Dec 08, 2014","9,855.31","9,837.72","9,879.60","9,830.68","-","-0.06%"
"Dec 05, 2014","9,861.34","9,902.07","9,914.38","9,844.70","-","-0.50%"
"Dec 04, 2014","9,910.47","9,924.21","9,942.66","9,909.27","-","-0.45%"
"Dec 03, 2014","9,955.07","9,939.73","9,982.98","9,937.72","-","0.13%"
"Dec 02, 2014","9,942.08","9,978.04","9,978.04","9,885.69","-","-0.38%"
"Dec 01, 2014","9,979.78","9,970.51","10,015.50","9,934.30","-","0.04%"
"Nov 28, 2014","9,975.71","9,984.52","10,000.84","9,949.45","-","-0.30%"
"Nov 27, 2014","10,005.63","10,010.61","10,057.13","9,988.80","-","-0.36%"
"Nov 26, 2014","10,041.80","10,023.55","10,060.64","9,996.94","-","-0.09%"
"Nov 25, 2014","10,050.98","10,038.07","10,065.88","10,005.86","-","0.00%"
"Nov 24, 2014","10,050.89","10,119.91","10,132.73","10,050.58","-","-0.80%"
"Nov 21, 2014","10,131.79","10,070.33","10,131.79","10,055.21","-","0.40%"
"Nov 20, 2014","10,091.05","10,068.73","10,125.54","10,068.73","-","0.08%"
"Nov 19, 2014","10,082.52","10,169.53","10,183.44","10,082.52","-","-0.94%"
"Nov 17, 2014","10,178.19","10,105.68","10,178.19","10,099.30","-","0.50%"
"Nov 14, 2014","10,127.05","10,136.38","10,145.03","10,080.60","-","-0.02%"
"Nov 13, 2014","10,128.98","10,166.94","10,186.10","10,128.98","-","-0.57%"
"Nov 12, 2014","10,187.47","10,200.14","10,211.26","10,174.80","-","-0.31%"
"Nov 11, 2014","10,219.13","10,197.37","10,226.25","10,187.58","-","-0.03%"
"Nov 10, 2014","10,221.82","10,233.28","10,259.46","10,218.57","-","-0.36%"
"Nov 07, 2014","10,258.92","10,270.76","10,284.58","10,237.78","-","-0.09%"
"Nov 05, 2014","10,268.41","10,335.36","10,336.89","10,268.41","-","-0.68%"
"Nov 04, 2014","10,338.87","10,356.76","10,381.72","10,338.87","-","-0.31%"
"Nov 03, 2014","10,370.92","10,328.64","10,380.89","10,322.06","-","0.18%"
"Oct 31, 2014","10,352.05","10,334.88","10,358.64","10,302.54","-","-0.12%"
"Oct 30, 2014","10,364.56","10,245.12","10,364.56","10,243.34","-","1.02%"
"Oct 29, 2014","10,260.27","10,160.88","10,264.00","10,160.88","-","0.78%"
"Oct 28, 2014","10,180.50","10,193.17","10,216.22","10,153.17","-","0.01%"
"Oct 27, 2014","10,179.03","10,208.31","10,217.16","10,138.90","-","-0.41%"
"Oct 24, 2014","10,221.38","10,134.74","10,288.04","10,134.74","-","0.80%"
"Oct 23, 2014","10,140.74","10,114.97","10,157.01","10,076.50","-","0.51%"
"Oct 22, 2014","10,089.24","10,042.89","10,089.24","10,030.14","-","0.51%"
"Oct 21, 2014","10,038.42","10,022.80","10,049.32","10,011.08","-","0.07%"
"Oct 20, 2014","10,031.71","10,092.73","10,092.73","10,019.35","-","-0.67%"
"Oct 17, 2014","10,099.34","9,975.63","10,099.34","9,967.84","-","1.06%"
"Oct 16, 2014","9,993.42","10,035.62","10,061.72","9,989.74","-","-0.50%"
"Oct 15, 2014","10,043.15","10,014.97","10,050.03","10,000.01","-","0.32%"
"Oct 14, 2014","10,011.24","10,009.81","10,036.57","9,987.31","-","-0.01%"
"Oct 13, 2014","10,012.59","9,987.83","10,040.70","9,974.72","-","0.21%"
"Oct 10, 2014","9,991.14","10,015.77","10,034.44","9,991.14","-","-0.41%"
"Oct 09, 2014","10,032.69","10,050.46","10,067.98","9,976.96","-","-0.10%"
"Oct 08, 2014","10,042.60","10,100.75","10,102.28","10,028.57","-","-0.12%"
"Oct 07, 2014","10,054.42","10,096.24","10,114.21","10,054.04","-","-0.17%"
"Oct 03, 2014","10,071.85","10,041.27","10,094.36","10,041.27","-","0.25%"
"Oct 02, 2014","10,046.58","10,084.26","10,115.15","10,046.58","-","-0.49%"
"Oct 01, 2014","10,095.60","10,050.72","10,116.05","10,043.19","-","0.15%"
"Sep 30, 2014","10,080.80","9,982.05","10,080.80","9,982.05","-","0.65%"
"Sep 29, 2014","10,016.16","10,013.30","10,044.74","9,988.86","-","0.25%"
"Sep 26, 2014","9,991.47","9,915.57","9,991.47","9,873.81","-","0.56%"
"Sep 25, 2014","9,935.61","9,866.67","9,937.02","9,856.35","-","0.38%"
"Sep 24, 2014","9,898.23","9,954.47","9,958.36","9,846.22","-","-0.63%"
"Sep 23, 2014","9,961.18","9,971.18","9,971.18","9,918.50","-","-0.25%"
"Sep 22, 2014","9,985.78","9,966.88","9,991.83","9,945.96","-","0.19%"
