"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 19, 2015","9,517.02","9,503.80","9,559.11","9,481.04","-","0.20%"
"Aug 18, 2015","9,497.82","9,493.35","9,514.10","9,474.40","-","0.00%"
"Aug 17, 2015","9,497.67","9,650.27","9,650.36","9,497.67","-","-1.61%"
"Aug 13, 2015","9,653.11","9,689.05","9,695.58","9,634.05","-","-0.44%"
"Aug 12, 2015","9,695.36","9,706.25","9,719.18","9,663.06","-","0.22%"
"Aug 11, 2015","9,674.56","9,690.33","9,707.04","9,664.02","-","-0.16%"
"Aug 10, 2015","9,690.54","9,702.30","9,705.24","9,674.25","-","-0.26%"
"Aug 07, 2015","9,716.22","9,762.01","9,762.39","9,711.61","-","-0.61%"
"Aug 06, 2015","9,776.00","9,783.68","9,787.66","9,697.17","-","-0.28%"
"Aug 05, 2015","9,803.29","9,862.15","9,892.79","9,797.66","-","-0.87%"
"Aug 04, 2015","9,888.96","9,776.16","9,888.96","9,770.15","-","0.84%"
"Aug 03, 2015","9,806.40","9,812.28","9,827.70","9,755.62","-","0.68%"
"Jul 31, 2015","9,740.01","9,718.21","9,748.55","9,706.37","-","0.17%"
"Jul 29, 2015","9,723.10","9,725.57","9,748.62","9,704.45","-","-0.00%"
"Jul 28, 2015","9,723.19","9,693.01","9,723.19","9,674.73","-","0.37%"
"Jul 27, 2015","9,687.43","9,668.22","9,687.43","9,651.34","-","-0.05%"
"Jul 24, 2015","9,692.06","9,658.86","9,692.06","9,636.10","-","0.11%"
"Jul 23, 2015","9,681.46","9,624.45","9,681.46","9,624.45","-","0.40%"
"Jul 22, 2015","9,642.51","9,694.92","9,721.17","9,633.88","-","-0.59%"
"Jul 21, 2015","9,700.22","9,735.48","9,750.01","9,672.29","-","-0.37%"
"Jul 20, 2015","9,736.46","9,661.59","9,736.46","9,661.46","-","0.61%"
"Jul 16, 2015","9,676.99","9,672.92","9,679.55","9,615.99","-","0.03%"
"Jul 15, 2015","9,674.05","9,652.08","9,676.09","9,642.75","-","0.20%"
"Jul 14, 2015","9,655.03","9,645.06","9,665.97","9,632.00","-","-0.12%"
"Jul 13, 2015","9,667.00","9,646.99","9,667.98","9,628.66","-","0.22%"
"Jul 10, 2015","9,646.24","9,586.97","9,650.09","9,578.06","-","0.50%"
"Jul 09, 2015","9,597.80","9,606.43","9,614.70","9,555.08","-","-0.09%"
"Jul 08, 2015","9,606.43","9,572.68","9,607.24","9,548.28","-","0.33%"
"Jul 07, 2015","9,575.01","9,553.55","9,575.01","9,505.02","-","0.09%"
"Jul 06, 2015","9,566.67","9,584.32","9,593.57","9,543.69","-","-0.57%"
"Jul 03, 2015","9,621.22","9,541.13","9,621.22","9,532.86","-","0.73%"
"Jul 02, 2015","9,551.04","9,533.36","9,567.42","9,523.16","-","0.05%"
"Jul 01, 2015","9,546.32","9,576.35","9,590.24","9,534.00","-","-0.33%"
"Jun 30, 2015","9,578.34","9,533.63","9,578.34","9,493.16","-","0.42%"
"Jun 29, 2015","9,538.63","9,540.87","9,563.26","9,528.90","-","-0.38%"
"Jun 26, 2015","9,575.31","9,587.45","9,590.56","9,515.33","-","-0.14%"
"Jun 25, 2015","9,588.99","9,581.70","9,593.23","9,545.43","-","0.07%"
"Jun 24, 2015","9,582.61","9,587.00","9,589.92","9,547.46","-","-0.10%"
"Jun 23, 2015","9,592.29","9,519.67","9,594.16","9,506.57","-","0.46%"
"Jun 22, 2015","9,548.78","9,561.34","9,585.49","9,515.30","-","-0.34%"
"Jun 19, 2015","9,581.36","9,538.25","9,581.36","9,524.70","-","0.51%"
"Jun 18, 2015","9,532.74","9,512.15","9,532.74","9,481.63","-","0.33%"
"Jun 17, 2015","9,501.72","9,537.62","9,553.58","9,484.10","-","-0.44%"
"Jun 16, 2015","9,543.63","9,607.51","9,614.21","9,524.26","-","-0.74%"
"Jun 15, 2015","9,614.60","9,641.25","9,668.49","9,606.37","-","-0.34%"
"Jun 12, 2015","9,647.75","9,590.72","9,648.37","9,578.70","-","0.47%"
"Jun 11, 2015","9,603.03","9,599.98","9,615.87","9,576.71","-","0.10%"
"Jun 10, 2015","9,593.00","9,578.09","9,627.59","9,566.47","-","-0.03%"
"Jun 09, 2015","9,595.92","9,723.73","9,723.73","9,592.71","-","-1.31%"
