"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2014","8,333.30","8,486.58","8,607.84","8,042.23","432.29M","-1.81%"
"Dec 30, 2014","8,486.58","8,855.35","8,855.35","8,462.82","360.37M","-4.16%"
"Dec 29, 2014","8,855.35","8,856.38","8,948.52","8,838.35","425.88M","-0.01%"
"Dec 28, 2014","8,856.38","8,749.34","8,863.20","8,742.84","337.16M","1.22%"
"Dec 25, 2014","8,749.34","8,699.78","8,811.31","8,649.66","373.92M","0.57%"
"Dec 24, 2014","8,699.78","8,546.70","8,814.38","8,546.70","390.40M","1.79%"
"Dec 23, 2014","8,546.70","8,546.88","8,573.49","8,492.60","255.41M","-0.00%"
"Dec 22, 2014","8,546.88","8,525.39","8,588.37","8,399.73","353.76M","0.25%"
"Dec 21, 2014","8,525.39","8,320.55","8,739.57","8,282.23","437.69M","2.46%"
"Dec 18, 2014","8,320.55","7,638.90","8,332.61","7,638.90","355.84M","8.92%"
"Dec 17, 2014","7,638.90","7,330.30","7,681.50","7,225.83","360.01M","4.21%"
"Dec 16, 2014","7,330.30","7,904.91","7,904.91","7,275.05","285.85M","-7.27%"
"Dec 15, 2014","7,904.91","8,119.08","8,266.35","7,847.95","239.96M","-2.64%"
"Dec 14, 2014","8,119.08","8,393.92","8,393.92","8,044.65","230.52M","-3.27%"
"Dec 11, 2014","8,393.92","8,410.98","8,413.02","8,158.05","260.65M","-0.20%"
"Dec 10, 2014","8,410.98","8,625.31","8,643.68","8,395.02","187.68M","-2.48%"
"Dec 09, 2014","8,625.31","8,785.73","8,785.73","8,496.14","246.26M","-1.83%"
"Dec 08, 2014","8,785.73","8,941.45","8,941.45","8,784.48","195.93M","-1.74%"
"Dec 07, 2014","8,941.45","8,957.63","8,961.85","8,883.41","247.73M","-0.18%"
"Dec 04, 2014","8,957.63","8,801.68","8,959.70","8,801.68","244.16M","1.77%"
"Dec 03, 2014","8,801.68","8,742.57","8,802.92","8,715.00","227.88M","0.68%"
"Dec 02, 2014","8,742.57","8,720.42","8,867.65","8,720.42","222.18M","0.25%"
"Dec 01, 2014","8,720.42","8,624.89","8,774.74","8,529.50","298.93M","1.11%"
"Nov 30, 2014","8,624.89","9,055.63","9,055.63","8,482.50","220.97M","-4.76%"
"Nov 27, 2014","9,055.63","9,081.27","9,104.41","8,956.17","201.17M","-0.28%"
"Nov 26, 2014","9,081.27","9,234.03","9,234.03","8,922.32","227.90M","-1.65%"
"Nov 25, 2014","9,234.03","9,404.76","9,404.76","9,213.06","188.77M","-1.82%"
"Nov 24, 2014","9,404.76","9,515.63","9,535.12","9,399.10","212.14M","-1.17%"
"Nov 23, 2014","9,515.63","9,408.83","9,556.00","9,408.83","204.51M","1.14%"
"Nov 20, 2014","9,408.83","9,383.79","9,427.56","9,375.20","162.74M","0.27%"
"Nov 19, 2014","9,383.79","9,374.68","9,417.35","9,320.25","181.81M","0.10%"
"Nov 18, 2014","9,374.68","9,289.55","9,390.78","9,285.29","178.19M","0.92%"
"Nov 17, 2014","9,289.55","9,553.81","9,553.81","9,224.18","195.95M","-2.77%"
"Nov 16, 2014","9,553.81","9,681.66","9,683.45","9,525.46","162.53M","-1.32%"
"Nov 13, 2014","9,681.66","9,766.01","9,766.71","9,657.68","181.67M","-0.86%"
"Nov 12, 2014","9,766.01","9,768.05","9,832.74","9,751.39","204.25M","-0.02%"
"Nov 11, 2014","9,768.05","9,793.20","9,814.88","9,719.78","253.67M","-0.26%"
"Nov 10, 2014","9,793.20","9,688.65","9,796.97","9,686.29","183.15M","1.08%"
"Nov 09, 2014","9,688.65","9,649.28","9,689.89","9,593.91","203.18M","0.41%"
"Nov 06, 2014","9,649.28","9,628.84","9,665.96","9,583.12","183.11M","0.21%"
"Nov 05, 2014","9,628.84","9,784.57","9,784.57","9,436.38","227.18M","-1.59%"
"Nov 04, 2014","9,784.57","10,141.67","10,141.67","9,750.71","239.96M","-3.52%"
"Nov 03, 2014","10,141.67","10,099.27","10,142.82","10,075.68","158.88M","0.42%"
"Nov 02, 2014","10,099.27","10,034.92","10,172.15","10,034.92","156.66M","0.64%"
"Oct 30, 2014","10,034.92","10,081.96","10,081.96","9,925.37","186.50M","-0.47%"
"Oct 29, 2014","10,081.96","10,163.66","10,216.57","10,076.05","213.22M","-0.80%"
"Oct 28, 2014","10,163.66","10,194.42","10,216.24","10,119.59","202.67M","-0.30%"
"Oct 27, 2014","10,194.42","10,313.96","10,358.89","10,194.28","210.25M","-1.16%"
"Oct 26, 2014","10,313.96","10,165.33","10,313.96","10,130.29","229.55M","1.46%"
"Oct 23, 2014","10,165.33","10,206.19","10,206.19","10,041.15","215.30M","-0.40%"
"Oct 22, 2014","10,206.19","10,136.46","10,267.50","10,104.22","279.11M","0.69%"
"Oct 21, 2014","10,136.46","9,882.36","10,147.21","9,882.36","283.70M","2.57%"
"Oct 20, 2014","9,882.36","9,775.32","9,887.18","9,758.33","241.07M","1.10%"
"Oct 19, 2014","9,775.32","9,547.54","9,942.61","9,547.54","252.40M","2.39%"
"Oct 16, 2014","9,547.54","9,903.00","9,903.00","9,340.62","311.18M","-3.59%"
"Oct 15, 2014","9,903.00","10,177.11","10,177.11","9,893.41","221.37M","-2.69%"
"Oct 14, 2014","10,177.11","10,377.94","10,377.94","10,071.76","209.01M","-1.94%"
"Oct 13, 2014","10,377.94","10,145.38","10,383.35","10,112.02","226.48M","2.29%"
"Oct 12, 2014","10,145.38","10,851.48","10,851.48","10,123.54","254.05M","-6.51%"
"Oct 02, 2014","10,851.48","10,849.61","10,860.81","10,732.59","182.74M","0.02%"
"Oct 01, 2014","10,849.61","10,854.79","10,868.92","10,813.72","153.82M","-0.05%"
"Sep 30, 2014","10,854.79","10,757.41","10,861.44","10,757.41","177.25M","0.91%"
"Sep 29, 2014","10,757.41","10,674.17","10,757.84","10,633.38","168.04M","0.78%"
"Sep 28, 2014","10,674.17","10,765.02","10,782.75","10,633.46","181.28M","-0.84%"
"Sep 25, 2014","10,765.02","10,720.51","10,811.49","10,718.66","207.99M","0.42%"
"Sep 24, 2014","10,720.51","10,874.82","10,875.61","10,614.08","316.92M","-1.42%"
"Sep 22, 2014","10,874.82","11,010.68","11,010.68","10,822.80","264.26M","-1.23%"
"Sep 21, 2014","11,010.68","11,062.37","11,081.76","10,977.95","266.63M","-0.47%"
"Sep 18, 2014","11,062.37","11,080.92","11,105.24","11,053.40","227.00M","-0.17%"
"Sep 17, 2014","11,080.92","10,993.35","11,097.72","10,993.35","259.00M","0.80%"
"Sep 16, 2014","10,993.35","10,932.72","11,016.83","10,931.59","277.30M","0.55%"
"Sep 15, 2014","10,932.72","11,026.96","11,047.02","10,910.91","278.44M","-0.85%"
"Sep 14, 2014","11,026.96","11,063.14","11,125.63","11,015.00","299.24M","-0.33%"
"Sep 11, 2014","11,063.14","11,126.01","11,148.66","11,050.93","353.69M","-0.57%"
"Sep 10, 2014","11,126.01","11,149.36","11,154.29","11,082.93","368.87M","-0.21%"
"Sep 09, 2014","11,149.36","11,143.82","11,159.50","11,129.67","294.06M","0.05%"
"Sep 08, 2014","11,143.82","11,135.96","11,150.36","11,104.75","276.44M","0.07%"
"Sep 07, 2014","11,135.96","11,068.83","11,141.02","11,068.72","285.40M","0.61%"
"Sep 04, 2014","11,068.83","11,061.14","11,073.05","11,009.71","324.04M","0.07%"
"Sep 03, 2014","11,061.14","11,048.19","11,099.33","11,026.91","331.47M","0.12%"
"Sep 02, 2014","11,048.19","11,116.75","11,116.75","11,026.15","294.21M","-0.62%"
"Sep 01, 2014","11,116.75","11,112.12","11,138.41","11,060.87","334.00M","0.04%"
"Aug 31, 2014","11,112.12","11,042.03","11,114.91","11,041.54","315.62M","0.63%"
"Aug 28, 2014","11,042.03","11,029.95","11,070.70","11,001.19","309.44M","0.11%"
"Aug 27, 2014","11,029.95","10,939.84","11,031.47","10,939.84","473.80M","0.82%"
"Aug 26, 2014","10,939.84","10,842.78","10,943.75","10,817.93","342.02M","0.90%"
"Aug 25, 2014","10,842.78","10,903.04","11,051.03","10,797.83","489.79M","-0.55%"
"Aug 24, 2014","10,903.04","10,734.76","10,905.36","10,734.76","282.22M","1.57%"
"Aug 21, 2014","10,734.76","10,716.24","10,745.73","10,712.42","214.72M","0.17%"
"Aug 20, 2014","10,716.24","10,659.56","10,741.71","10,653.97","267.79M","0.53%"
"Aug 19, 2014","10,659.56","10,650.09","10,668.56","10,638.84","235.53M","0.09%"
"Aug 18, 2014","10,650.09","10,639.04","10,682.50","10,628.69","259.97M","0.10%"
"Aug 17, 2014","10,639.04","10,588.26","10,652.69","10,583.15","232.74M","0.48%"
"Aug 14, 2014","10,588.26","10,593.10","10,626.01","10,575.33","235.62M","-0.05%"
"Aug 13, 2014","10,593.10","10,588.89","10,641.64","10,572.70","209.19M","0.04%"
"Aug 12, 2014","10,588.89","10,596.55","10,608.04","10,553.50","205.98M","-0.07%"
"Aug 11, 2014","10,596.55","10,579.12","10,603.30","10,547.21","197.23M","0.16%"
"Aug 10, 2014","10,579.12","10,552.48","10,614.11","10,551.77","199.77M","0.25%"
"Aug 07, 2014","10,552.48","10,478.34","10,585.38","10,478.34","202.33M","0.71%"
"Aug 06, 2014","10,478.34","10,450.52","10,494.12","10,398.25","192.87M","0.27%"
"Aug 05, 2014","10,450.52","10,405.81","10,501.38","10,405.81","287.65M","0.43%"
"Aug 04, 2014","10,405.81","10,302.88","10,409.47","10,290.95","223.10M","1.00%"
"Aug 03, 2014","10,302.88","10,214.73","10,313.46","10,177.05","184.83M","0.86%"
