"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 30, 2015","7,690.40","7,604.32","7,953.43","7,604.32","265.32M","1.13%"
"Aug 27, 2015","7,604.32","7,384.46","7,762.96","7,384.46","336.18M","2.98%"
"Aug 26, 2015","7,384.46","7,543.05","7,573.95","7,361.45","347.74M","-2.10%"
"Aug 25, 2015","7,543.05","7,024.60","7,562.81","7,014.08","558.70M","7.38%"
"Aug 24, 2015","7,024.60","7,463.32","7,476.74","6,920.96","355.78M","-5.88%"
"Aug 23, 2015","7,463.32","8,012.83","8,012.83","7,439.52","274.20M","-6.86%"
"Aug 20, 2015","8,012.83","7,991.28","8,015.22","7,712.63","275.76M","0.27%"
"Aug 19, 2015","7,991.28","8,197.02","8,258.49","7,975.94","199.65M","-2.51%"
"Aug 18, 2015","8,197.02","8,437.26","8,443.73","8,046.37","195.27M","-2.85%"
"Aug 17, 2015","8,437.26","8,464.06","8,496.89","8,380.57","151.80M","-0.32%"
"Aug 16, 2015","8,464.06","8,683.74","8,712.74","8,418.91","148.23M","-2.53%"
"Aug 13, 2015","8,683.74","8,708.31","8,757.31","8,678.16","91.43M","-0.28%"
"Aug 12, 2015","8,708.31","8,758.07","8,758.07","8,606.60","112.91M","-0.57%"
"Aug 11, 2015","8,758.07","8,834.82","8,865.60","8,749.25","121.20M","-0.87%"
"Aug 10, 2015","8,834.82","8,699.17","8,839.21","8,699.17","136.97M","1.56%"
"Aug 09, 2015","8,699.17","8,654.64","8,707.77","8,561.46","102.82M","0.51%"
"Aug 06, 2015","8,654.64","8,790.77","8,790.77","8,617.45","124.86M","-1.55%"
"Aug 05, 2015","8,790.77","8,769.47","8,824.95","8,769.47","98.76M","0.24%"
"Aug 04, 2015","8,769.47","8,820.65","8,820.65","8,701.57","144.47M","-0.58%"
"Aug 03, 2015","8,820.65","8,807.24","8,820.65","8,744.22","176.94M","0.15%"
"Aug 02, 2015","8,807.24","9,098.27","9,101.08","8,768.35","169.45M","-3.20%"
"Jul 30, 2015","9,098.27","9,107.39","9,133.60","9,081.65","135.83M","-0.10%"
"Jul 29, 2015","9,107.39","9,090.84","9,141.89","9,090.84","112.87M","0.18%"
"Jul 28, 2015","9,090.84","9,080.02","9,106.97","9,056.99","103.55M","0.12%"
"Jul 27, 2015","9,080.02","9,301.66","9,301.66","9,079.28","142.14M","-2.38%"
"Jul 26, 2015","9,301.66","9,372.74","9,411.93","9,276.77","132.19M","-0.76%"
"Jul 23, 2015","9,372.74","9,381.01","9,385.11","9,354.46","132.22M","-0.09%"
"Jul 22, 2015","9,381.01","9,337.86","9,397.50","9,337.16","107.93M","0.46%"
"Jul 15, 2015","9,337.86","9,275.20","9,345.21","9,268.31","142.36M","0.68%"
"Jul 14, 2015","9,275.20","9,269.78","9,281.82","9,222.18","104.88M","0.06%"
"Jul 13, 2015","9,269.78","9,253.41","9,292.91","9,251.23","95.38M","0.18%"
"Jul 12, 2015","9,253.41","9,281.76","9,353.67","9,241.63","157.88M","-0.31%"
"Jul 09, 2015","9,281.76","9,057.89","9,314.44","9,047.21","199.06M","2.47%"
"Jul 08, 2015","9,057.89","9,081.73","9,081.73","9,013.74","97.01M","-0.26%"
"Jul 07, 2015","9,081.73","9,131.36","9,138.53","9,039.08","94.54M","-0.54%"
"Jul 06, 2015","9,131.36","9,160.70","9,167.97","9,086.46","118.00M","-0.32%"
"Jul 05, 2015","9,160.70","9,136.34","9,173.02","9,077.20","111.14M","0.27%"
"Jul 02, 2015","9,136.34","9,104.27","9,174.86","9,087.44","133.77M","0.35%"
"Jul 01, 2015","9,104.27","9,086.89","9,138.71","9,011.69","176.54M","0.19%"
"Jun 30, 2015","9,086.89","9,059.94","9,090.08","8,928.27","173.14M","0.30%"
"Jun 29, 2015","9,059.94","9,208.70","9,208.70","9,006.16","174.09M","-1.62%"
"Jun 28, 2015","9,208.70","9,367.29","9,368.66","9,163.88","188.91M","-1.69%"
"Jun 25, 2015","9,367.29","9,313.05","9,371.75","9,295.47","146.97M","0.58%"
"Jun 24, 2015","9,313.05","9,279.74","9,318.33","9,244.84","122.73M","0.36%"
"Jun 23, 2015","9,279.74","9,275.27","9,346.68","9,228.41","143.03M","0.05%"
"Jun 22, 2015","9,275.27","9,344.11","9,367.91","9,228.04","148.23M","-0.74%"
