"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2014","5,089.99","5,110.21","5,130.26","5,079.37","-","-0.37%"
"Dec 30, 2014","5,109.01","5,101.15","5,117.00","5,094.68","-","0.27%"
"Dec 29, 2014","5,095.36","5,094.52","5,098.37","5,069.81","-","0.11%"
"Dec 26, 2014","5,089.77","5,084.09","5,092.77","5,079.24","-","0.18%"
"Dec 25, 2014","5,080.83","5,074.89","5,083.17","5,061.28","-","0.15%"
"Dec 24, 2014","5,073.43","5,071.09","5,090.35","5,064.58","-","-0.36%"
"Dec 23, 2014","5,091.58","5,150.11","5,158.02","5,090.00","-","-0.98%"
"Dec 22, 2014","5,141.85","5,145.01","5,199.29","5,134.82","-","0.60%"
"Dec 19, 2014","5,110.99","5,088.63","5,119.55","5,084.36","-","0.60%"
"Dec 18, 2014","5,080.48","5,009.01","5,082.22","5,008.50","-","1.46%"
"Dec 17, 2014","5,007.39","4,961.99","5,007.39","4,961.99","-","1.01%"
"Dec 16, 2014","4,957.26","4,949.38","4,966.78","4,949.38","-","0.16%"
"Dec 15, 2014","4,949.58","4,934.43","4,954.77","4,934.43","-","0.36%"
"Dec 12, 2014","4,932.04","4,936.11","4,936.11","4,926.13","-","-0.01%"
"Dec 11, 2014","4,932.52","4,933.31","4,942.08","4,930.01","-","-0.01%"
"Dec 10, 2014","4,933.08","4,949.69","4,951.02","4,926.51","-","-0.34%"
"Dec 09, 2014","4,949.96","4,969.14","4,970.19","4,946.60","-","-0.37%"
"Dec 08, 2014","4,968.45","4,983.49","4,983.49","4,964.08","-","-0.26%"
"Dec 05, 2014","4,981.27","4,977.07","4,981.27","4,959.24","-","-0.01%"
"Dec 04, 2014","4,981.97","4,975.88","4,981.97","4,956.44","-","0.08%"
"Dec 03, 2014","4,978.14","4,965.53","4,982.56","4,965.53","-","0.32%"
"Dec 02, 2014","4,962.13","4,968.43","4,973.12","4,958.29","-","-0.12%"
"Dec 01, 2014","4,967.93","4,978.59","5,000.09","4,967.59","-","-0.04%"
"Nov 28, 2014","4,969.76","4,976.07","4,984.65","4,965.29","-","-0.23%"
"Nov 27, 2014","4,981.07","4,979.35","5,002.24","4,966.72","-","0.09%"
"Nov 26, 2014","4,976.69","4,995.82","4,995.82","4,959.34","-","-0.41%"
"Nov 25, 2014","4,996.97","5,007.30","5,012.63","4,979.81","-","0.00%"
"Nov 24, 2014","4,996.90","4,973.97","5,011.38","4,973.97","-","0.51%"
"Nov 21, 2014","4,971.37","4,938.94","4,971.88","4,938.42","-","0.69%"
"Nov 20, 2014","4,937.27","4,916.63","4,938.63","4,916.63","-","0.53%"
"Nov 19, 2014","4,911.42","4,915.80","4,936.05","4,910.13","-","-0.05%"
"Nov 18, 2014","4,913.86","4,913.17","4,927.83","4,903.60","-","0.05%"
"Nov 17, 2014","4,911.48","4,908.33","4,919.48","4,901.99","-","0.14%"
"Nov 14, 2014","4,904.42","4,934.24","4,934.24","4,900.38","-","-0.60%"
"Nov 13, 2014","4,934.06","4,978.07","4,978.07","4,915.14","-","-0.89%"
"Nov 12, 2014","4,978.55","4,970.25","4,978.98","4,963.65","-","0.13%"
"Nov 11, 2014","4,972.04","4,988.94","4,988.94","4,967.98","-","-0.36%"
"Nov 10, 2014","4,990.07","5,001.22","5,009.71","4,977.54","-","-0.20%"
"Nov 07, 2014","4,999.91","5,028.69","5,041.58","4,999.91","-","-0.29%"
"Nov 06, 2014","5,014.32","4,973.34","5,014.32","4,944.86","-","0.35%"
"Nov 05, 2014","4,996.64","4,963.03","4,996.64","4,949.00","-","0.45%"
"Nov 04, 2014","4,974.48","4,975.70","4,993.01","4,970.76","-","0.11%"
"Nov 03, 2014","4,969.00","4,901.11","4,979.62","4,896.88","-","1.34%"
"Oct 31, 2014","4,903.10","4,816.58","4,903.22","4,814.57","-","1.80%"
"Oct 30, 2014","4,816.56","4,737.68","4,816.73","4,727.74","-","1.53%"
"Oct 29, 2014","4,743.81","4,760.61","4,787.08","4,730.17","-","-0.22%"
"Oct 28, 2014","4,754.43","4,693.69","4,754.43","4,693.69","-","1.63%"
"Oct 27, 2014","4,678.26","4,620.12","4,678.26","4,620.12","-","1.54%"
"Oct 23, 2014","4,607.16","4,602.03","4,607.16","4,584.53","-","0.12%"
"Oct 22, 2014","4,601.70","4,613.51","4,616.20","4,600.33","-","-0.17%"
"Oct 21, 2014","4,609.71","4,604.39","4,610.31","4,593.73","-","0.12%"
"Oct 20, 2014","4,604.24","4,608.34","4,610.12","4,587.49","-","-0.10%"
"Oct 17, 2014","4,609.00","4,615.97","4,616.45","4,593.88","-","-0.11%"
"Oct 16, 2014","4,613.85","4,612.97","4,615.63","4,602.64","-","-0.00%"
"Oct 14, 2014","4,614.02","4,610.89","4,616.87","4,596.43","-","0.08%"
"Oct 13, 2014","4,610.48","4,611.19","4,614.91","4,600.55","-","0.09%"
"Oct 10, 2014","4,606.25","4,601.03","4,608.83","4,583.18","-","0.18%"
"Oct 09, 2014","4,597.79","4,591.51","4,601.59","4,586.84","-","0.09%"
"Oct 08, 2014","4,593.68","4,597.93","4,600.89","4,589.82","-","-0.07%"
"Oct 07, 2014","4,596.68","4,593.79","4,600.16","4,590.45","-","0.03%"
"Oct 06, 2014","4,595.35","4,585.66","4,597.82","4,585.66","-","0.21%"
"Oct 03, 2014","4,585.66","4,588.28","4,589.45","4,566.84","-","0.13%"
"Oct 02, 2014","4,579.56","4,579.59","4,588.88","4,575.45","-","-0.03%"
"Oct 01, 2014","4,581.09","4,579.39","4,585.19","4,578.47","-","0.02%"
"Sep 30, 2014","4,580.30","4,583.08","4,586.01","4,569.56","-","-0.10%"
"Sep 29, 2014","4,584.74","4,596.35","4,600.99","4,574.17","-","-0.27%"
"Sep 26, 2014","4,597.33","4,623.91","4,623.91","4,579.47","-","-0.54%"
"Sep 25, 2014","4,622.33","4,622.60","4,626.92","4,615.21","-","-0.01%"
"Sep 24, 2014","4,622.63","4,624.71","4,627.30","4,611.38","-","-0.11%"
"Sep 23, 2014","4,627.61","4,605.26","4,628.43","4,605.13","-","0.49%"
"Sep 22, 2014","4,604.95","4,602.18","4,614.95","4,597.69","-","-0.10%"
"Sep 19, 2014","4,609.39","4,597.68","4,609.39","4,592.58","-","0.17%"
"Sep 18, 2014","4,601.68","4,601.85","4,606.19","4,589.20","-","-0.11%"
"Sep 17, 2014","4,606.52","4,602.47","4,606.52","4,593.84","-","0.07%"
"Sep 16, 2014","4,603.42","4,615.21","4,619.38","4,603.42","-","-0.28%"
"Sep 15, 2014","4,616.49","4,622.08","4,625.69","4,604.29","-","-0.14%"
"Sep 12, 2014","4,622.98","4,626.54","4,632.05","4,617.60","-","-0.44%"
"Sep 11, 2014","4,643.31","4,642.73","4,647.63","4,631.83","-","-0.09%"
"Sep 10, 2014","4,647.47","4,657.51","4,659.61","4,647.47","-","-0.21%"
"Sep 09, 2014","4,657.46","4,656.66","4,658.80","4,646.79","-","0.12%"
"Sep 08, 2014","4,651.92","4,666.35","4,666.35","4,640.88","-","-0.30%"
"Sep 05, 2014","4,665.99","4,662.85","4,672.49","4,657.91","-","0.07%"
"Sep 04, 2014","4,662.57","4,662.44","4,663.87","4,651.15","-","0.01%"
"Sep 03, 2014","4,662.31","4,663.72","4,670.59","4,659.20","-","-0.03%"
"Sep 02, 2014","4,663.93","4,684.46","4,684.48","4,651.04","-","-0.33%"
"Sep 01, 2014","4,679.57","4,682.64","4,682.64","4,672.38","-","-0.06%"
"Aug 29, 2014","4,682.60","4,685.18","4,687.01","4,677.93","-","-0.05%"
"Aug 28, 2014","4,684.81","4,691.44","4,691.44","4,681.20","-","-0.14%"
"Aug 27, 2014","4,691.60","4,695.52","4,697.07","4,681.73","-","-0.19%"
"Aug 26, 2014","4,700.69","4,691.09","4,701.11","4,689.34","-","0.20%"
"Aug 25, 2014","4,691.47","4,698.91","4,700.30","4,691.04","-","-0.18%"
"Aug 22, 2014","4,699.94","4,711.28","4,713.21","4,694.99","-","-0.24%"
"Aug 21, 2014","4,711.28","4,681.16","4,711.28","4,681.16","-","0.66%"
"Aug 20, 2014","4,680.17","4,669.86","4,685.35","4,669.54","-","0.30%"
"Aug 19, 2014","4,666.28","4,657.98","4,666.81","4,646.28","-","0.18%"
"Aug 18, 2014","4,657.71","4,654.50","4,660.63","4,649.26","-","0.05%"
"Aug 15, 2014","4,655.23","4,669.49","4,674.18","4,653.91","-","-0.31%"
"Aug 14, 2014","4,669.49","4,657.95","4,672.53","4,655.97","-","0.06%"
"Aug 12, 2014","4,666.51","4,666.43","4,673.05","4,657.81","-","0.01%"
"Aug 11, 2014","4,665.98","4,668.81","4,681.69","4,658.58","-","0.03%"
"Aug 08, 2014","4,664.71","4,679.24","4,680.15","4,657.52","-","-0.42%"
"Aug 07, 2014","4,684.32","4,678.22","4,686.15","4,674.27","-","0.15%"
"Aug 06, 2014","4,677.48","4,680.15","4,688.33","4,659.65","-","-0.03%"
"Aug 05, 2014","4,679.09","4,664.34","4,683.01","4,658.48","-","0.33%"
"Aug 04, 2014","4,663.82","4,688.36","4,689.74","4,660.36","-","-0.52%"
"Aug 01, 2014","4,688.24","4,670.83","4,688.24","4,655.55","-","0.30%"
"Jul 31, 2014","4,674.34","4,685.11","4,685.11","4,651.60","-","-0.21%"
"Jul 24, 2014","4,684.04","4,690.02","4,700.19","4,671.00","-","-0.15%"
"Jul 23, 2014","4,691.02","4,692.73","4,704.04","4,676.03","-","0.01%"
"Jul 22, 2014","4,690.77","4,675.60","4,695.49","4,674.64","-","0.34%"
"Jul 21, 2014","4,675.05","4,654.47","4,675.05","4,652.12","-","0.44%"
"Jul 18, 2014","4,654.77","4,642.97","4,655.13","4,638.06","-","0.46%"
"Jul 17, 2014","4,633.23","4,637.31","4,637.31","4,613.79","-","-0.10%"
"Jul 16, 2014","4,638.08","4,624.27","4,640.74","4,618.40","-","0.21%"
"Jul 15, 2014","4,628.37","4,619.69","4,630.21","4,614.55","-","-0.13%"
"Jul 14, 2014","4,634.21","4,637.37","4,639.54","4,627.20","-","-0.05%"
"Jul 11, 2014","4,636.52","4,634.00","4,639.42","4,630.96","-","0.05%"
"Jul 10, 2014","4,634.04","4,638.73","4,642.91","4,617.05","-","0.01%"
"Jul 09, 2014","4,633.79","4,645.97","4,650.13","4,633.34","-","-0.24%"
"Jul 08, 2014","4,644.95","4,611.14","4,649.19","4,611.14","-","0.73%"
"Jul 07, 2014","4,611.14","4,600.24","4,611.40","4,597.68","-","0.24%"
"Jul 04, 2014","4,600.13","4,586.28","4,612.07","4,584.25","-","0.30%"
"Jul 03, 2014","4,586.20","4,576.49","4,588.84","4,569.85","-","0.26%"
"Jul 02, 2014","4,574.13","4,580.11","4,586.00","4,571.17","-","-0.09%"
"Jul 01, 2014","4,578.08","4,597.41","4,604.57","4,558.86","-","-0.39%"
"Jun 30, 2014","4,595.86","4,601.14","4,612.87","4,589.62","-","-0.08%"
"Jun 27, 2014","4,599.33","4,597.23","4,613.03","4,587.44","-","-0.03%"
"Jun 26, 2014","4,600.67","4,606.92","4,616.07","4,593.92","-","-0.13%"
