"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2015","5,530.43","5,512.96","5,542.25","5,512.96","-","0.31%"
"Aug 19, 2015","5,513.47","5,522.37","5,536.33","5,510.94","-","-0.08%"
"Aug 18, 2015","5,517.83","5,526.65","5,526.65","5,499.68","-","-0.28%"
"Aug 17, 2015","5,533.08","5,566.90","5,566.90","5,529.61","-","-0.68%"
"Aug 14, 2015","5,571.05","5,589.31","5,589.50","5,553.28","-","-0.37%"
"Aug 12, 2015","5,591.55","5,616.41","5,618.06","5,589.95","-","-0.41%"
"Aug 11, 2015","5,614.58","5,622.59","5,622.59","5,602.97","-","-0.17%"
"Aug 10, 2015","5,624.39","5,624.24","5,636.61","5,613.06","-","-0.04%"
"Aug 07, 2015","5,626.51","5,636.44","5,649.00","5,616.54","-","-0.42%"
"Aug 06, 2015","5,650.48","5,653.57","5,656.03","5,628.40","-","0.11%"
"Aug 05, 2015","5,644.35","5,630.78","5,645.19","5,618.42","-","0.26%"
"Aug 04, 2015","5,629.71","5,628.24","5,629.71","5,600.17","-","-0.11%"
"Aug 03, 2015","5,636.11","5,647.11","5,649.56","5,606.02","-","0.03%"
"Jul 31, 2015","5,634.33","5,615.66","5,640.51","5,603.35","-","0.37%"
"Jul 30, 2015","5,613.75","5,625.07","5,625.07","5,594.27","-","-0.21%"
"Jul 29, 2015","5,625.42","5,608.31","5,640.71","5,603.92","-","0.26%"
"Jul 28, 2015","5,610.94","5,616.16","5,624.02","5,602.89","-","-0.15%"
"Jul 27, 2015","5,619.29","5,645.22","5,646.22","5,607.68","-","-0.49%"
"Jul 24, 2015","5,646.90","5,656.29","5,659.54","5,622.53","-","-0.11%"
"Jul 23, 2015","5,653.29","5,663.10","5,670.28","5,622.08","-","0.06%"
"Jul 22, 2015","5,649.67","5,664.68","5,670.21","5,624.46","-","-0.26%"
"Jul 21, 2015","5,664.58","5,668.46","5,688.70","5,650.96","-","-0.23%"
"Jul 20, 2015","5,677.44","5,666.79","5,680.70","5,652.17","-","0.30%"
"Jul 16, 2015","5,660.68","5,641.25","5,660.68","5,624.96","-","0.22%"
"Jul 15, 2015","5,648.42","5,653.44","5,656.18","5,630.11","-","-0.09%"
"Jul 14, 2015","5,653.50","5,672.19","5,675.70","5,632.49","-","-0.30%"
"Jul 13, 2015","5,670.78","5,676.84","5,684.43","5,662.51","-","-0.10%"
"Jul 10, 2015","5,676.18","5,683.33","5,687.22","5,664.76","-","-0.13%"
"Jul 09, 2015","5,683.58","5,684.13","5,684.13","5,659.78","-","-0.09%"
"Jul 08, 2015","5,688.94","5,688.26","5,708.97","5,663.41","-","0.05%"
"Jul 07, 2015","5,686.07","5,705.66","5,705.66","5,669.79","-","-0.37%"
"Jul 06, 2015","5,707.10","5,713.82","5,714.81","5,673.21","-","0.05%"
"Jul 03, 2015","5,704.01","5,717.02","5,717.64","5,687.76","-","-0.39%"
"Jul 02, 2015","5,726.23","5,719.29","5,726.23","5,704.48","-","0.12%"
"Jul 01, 2015","5,719.13","5,736.44","5,739.45","5,688.87","-","0.00%"
"Jun 30, 2015","5,718.94","5,707.02","5,729.79","5,701.47","-","0.27%"
"Jun 29, 2015","5,703.66","5,732.03","5,732.03","5,688.23","-","-0.97%"
"Jun 26, 2015","5,759.27","5,763.36","5,773.48","5,746.14","-","-0.06%"
"Jun 25, 2015","5,762.81","5,762.90","5,770.96","5,755.25","-","-0.13%"
"Jun 24, 2015","5,770.32","5,757.83","5,781.38","5,754.95","-","0.22%"
"Jun 23, 2015","5,757.77","5,747.04","5,772.04","5,747.04","-","0.19%"
"Jun 22, 2015","5,746.68","5,753.25","5,760.65","5,736.58","-","-0.06%"
"Jun 19, 2015","5,750.14","5,740.63","5,757.42","5,740.63","-","0.40%"
"Jun 18, 2015","5,727.36","5,684.83","5,727.59","5,683.48","-","0.73%"
"Jun 17, 2015","5,686.04","5,667.10","5,696.41","5,654.83","-","0.25%"
"Jun 16, 2015","5,671.71","5,652.63","5,677.41","5,645.55","-","0.35%"
"Jun 15, 2015","5,651.93","5,631.52","5,655.92","5,618.54","-","0.34%"
"Jun 12, 2015","5,632.63","5,606.12","5,638.14","5,606.12","-","0.49%"
"Jun 11, 2015","5,605.17","5,630.40","5,637.17","5,600.54","-","-0.43%"
"Jun 10, 2015","5,629.52","5,620.41","5,647.37","5,620.00","-","0.28%"
"Jun 09, 2015","5,613.83","5,647.31","5,654.12","5,613.83","-","-0.59%"
